n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
0,50,1761,476,133,13,15,23,3,1,0,0,5,6,3,10,5,0,0,0,0,0,57,7,7,7,9
1,175,1843,494,137,15,17,25,3,1,1,0,6,6,3,11,5,0,0,0,0,0,64,8,8,6,8
2,296,1665,440,122,15,16,24,3,1,1,0,6,6,3,11,5,0,0,0,0,0,65,9,8,5,7
3,423,1274,333,93,14,15,20,3,1,1,0,5,5,2,12,5,0,0,0,0,0,59,9,8,4,5
4,547,824,209,60,13,12,14,3,1,1,0,5,4,2,13,5,0,0,0,0,0,48,9,8,3,4
5,673,424,106,31,10,8,9,2,0,1,0,6,5,2,14,7,0,0,0,0,0,37,9,7,3,3
6,801,174,42,14,8,6,6,3,0,1,1,10,9,3,15,10,0,0,0,0,0,31,10,6,3,2
7,922,58,17,7,6,4,7,4,0,1,1,17,15,5,16,16,0,0,0,0,0,31,12,5,3,2
8,1050,39,16,7,5,3,9,6,1,1,1,27,22,8,16,21,0,0,0,0,0,41,16,5,3,2
9,1173,48,23,9,4,3,11,10,1,1,1,38,30,11,16,26,0,0,0,0,0,56,22,6,3,2
10,1300,61,30,11,4,3,14,14,1,1,1,47,36,13,15,27,0,0,0,0,0,73,29,8,3,2
11,1423,71,37,14,4,3,16,19,2,1,1,51,39,14,13,25,0,0,0,0,0,86,36,10,3,2
12,1547,78,43,16,3,2,18,21,3,1,1,51,39,14,10,21,0,0,0,0,0,92,42,12,3,2
13,1675,82,44,18,3,2,17,22,3,1,1,45,36,12,7,15,1,0,0,0,0,93,44,14,3,2
14,1798,81,43,19,3,2,15,20,3,1,1,36,32,10,5,9,2,0,0,0,0,87,42,15,2,1
15,1921,78,38,18,2,1,13,16,2,1,0,26,26,8,4,5,6,0,0,0,1,77,38,16,2,1
16,2048,71,32,17,2,1,9,11,2,1,0,18,20,5,3,3,10,1,1,0,1,64,31,15,2,1
17,2173,60,25,14,2,1,6,7,1,1,0,11,15,3,2,2,17,2,1,1,2,51,24,13,1,1
18,2297,48,19,11,1,1,3,3,1,1,0,7,10,2,2,2,21,3,1,1,2,37,17,11,1,1
19,2423,36,14,8,1,1,1,1,0,1,0,4,7,1,2,2,27,3,1,1,2,27,12,8,1,1
20,2547,26,10,6,1,1,1,1,0,0,0,3,5,1,2,2,25,4,1,1,2,19,8,6,1,1
21,2674,19,8,4,1,1,0,1,0,0,0,2,4,1,2,2,24,4,1,1,2,14,6,4,1,1
22,2801,16,6,3,1,1,0,1,0,0,0,3,3,0,2,2,18,4,1,1,1,12,4,3,1,1
23,2921,14,5,2,1,1,1,1,0,0,0,3,3,0,2,2,14,3,1,1,2,11,4,2,1,1
24,3047,12,5,2,1,1,1,1,0,0,0,3,2,0,2,2,9,3,1,1,2,11,4,2,1,1
25,3173,11,6,1,1,1,1,1,1,0,0,2,2,0,2,2,6,2,1,2,3,10,5,2,1,1
26,3298,10,6,1,1,1,1,0,1,0,0,2,2,0,2,2,4,1,1,2,5,11,5,2,1,1
27,3422,11,6,1,1,1,1,0,0,0,0,2,2,1,3,2,3,1,1,3,6,13,5,2,1,1
28,3547,12,6,1,1,1,1,0,0,0,0,2,1,1,3,2,2,1,1,3,6,15,5,2,1,1
29,3673,13,5,1,1,1,1,0,0,0,0,2,1,1,2,2,2,1,0,3,6,18,4,2,1,1
30,3810,16,5,2,1,1,1,0,0,0,0,2,1,1,2,2,1,1,0,2,6,21,4,3,1,1
31,3921,20,4,2,1,1,1,0,1,0,0,2,1,1,2,2,2,1,0,2,5,25,4,3,1,1
32,4048,26,4,3,1,1,1,0,1,0,0,2,1,1,2,2,1,1,0,2,4,28,3,3,1,1
33,4174,34,4,3,1,1,0,0,1,0,0,2,1,1,2,2,1,0,0,2,3,33,3,3,1,1
34,4297,42,4,3,1,2,0,0,1,0,0,2,1,1,2,2,1,0,0,2,3,35,3,3,2,2
35,4423,47,4,3,1,2,1,0,1,0,0,2,1,1,2,2,1,0,0,2,3,37,3,3,2,2
36,4548,48,4,3,2,2,1,0,1,0,0,2,1,1,2,2,1,0,0,2,3,34,3,3,2,2
37,4673,43,4,3,2,2,1,0,1,0,0,2,2,1,2,2,1,0,0,2,4,29,3,3,2,2
38,4799,35,4,3,2,2,1,0,1,0,0,2,2,1,2,3,1,0,0,2,4,22,3,3,2,2
39,4922,24,3,3,1,1,1,0,1,0,0,3,2,1,2,2,1,0,0,2,5,15,3,3,1,2
40,5047,15,3,3,1,1,1,1,1,0,0,3,2,1,2,2,1,0,0,2,6,10,3,3,1,1
41,5172,9,4,3,1,1,1,1,0,0,0,3,2,1,2,2,2,1,0,2,7,8,3,2,1,1
42,5296,7,4,3,1,1,1,1,0,1,0,2,2,1,2,2,2,1,0,3,8,8,3,2,1,1
43,5424,7,4,3,1,1,1,1,0,1,0,2,1,1,2,2,4,1,1,3,8,8,4,2,1,1
44,5547,7,5,3,1,1,1,1,0,1,0,1,1,0,2,2,4,1,1,3,8,9,4,3,1,1
45,5673,9,6,4,1,1,1,1,1,1,0,1,1,0,2,2,6,1,1,3,8,10,4,4,1,1
46,5804,11,7,6,1,1,1,1,1,1,0,1,1,0,2,2,6,1,1,3,7,10,5,6,1,1
47,5922,12,7,7,1,1,1,1,1,1,0,1,1,1,1,2,7,1,1,3,6,10,5,7,1,1
48,6047,13,7,8,1,1,1,1,1,1,0,1,1,1,1,2,7,1,1,2,5,10,5,7,1,1
49,6174,13,7,8,1,1,1,1,1,1,0,1,1,1,1,2,7,1,1,2,4,11,5,8,1,1
50,6297,12,6,7,1,1,1,1,1,1,0,1,1,1,1,2,7,1,1,2,3,10,5,7,1,1
51,6424,11,5,6,1,1,1,1,1,1,0,1,1,1,1,2,6,2,1,1,2,10,4,6,1,1
52,6547,10,4,4,0,1,1,1,1,1,0,1,2,1,1,2,6,2,1,1,1,9,4,4,1,1
53,6673,9,3,3,0,1,1,1,1,0,0,1,2,1,2,2,6,2,1,1,1,8,3,3,0,1
54,6797,8,3,2,0,1,1,1,0,0,0,1,2,1,2,2,6,2,1,1,1,7,3,2,0,1
55,6921,7,3,2,1,1,1,1,0,0,0,1,2,1,2,2,7,2,1,1,1,6,3,2,1,1
56,7048,7,3,3,1,1,2,1,0,0,0,1,2,1,2,2,7,2,1,1,1,6,3,1,1,1
57,7173,9,5,3,1,1,2,1,0,0,0,1,2,1,2,2,8,2,1,1,1,7,4,1,1,1
58,7297,12,6,3,1,1,2,1,0,0,0,1,2,1,2,2,8,2,1,1,1,10,6,2,1,1
59,7423,16,8,4,1,1,2,1,1,0,0,1,2,1,2,3,8,2,1,1,1,14,8,2,1,1
60,7548,21,10,4,1,1,2,0,1,0,0,1,2,1,2,2,7,2,1,1,1,17,9,2,1,1
61,7672,23,11,4,1,1,1,0,1,0,0,1,2,1,1,2,6,2,1,1,1,18,9,2,1,1
62,7797,22,10,3,1,1,1,0,1,0,0,1,1,1,1,2,5,2,1,1,1,18,8,2,1,1
63,7923,19,9,3,1,1,1,0,0,0,0,1,1,0,1,2,4,2,1,1,1,15,7,2,1,1
64,8048,14,7,3,1,1,1,0,0,0,0,1,1,0,1,2,4,2,1,1,1,12,5,2,1,0
65,8172,9,5,2,0,0,1,0,0,0,0,1,1,0,1,2,4,3,1,1,1,8,4,2,0,0
66,8297,6,4,2,0,0,1,0,0,0,0,1,2,0,1,2,5,4,2,1,1,5,3,2,0,0
67,8423,3,3,2,0,0,1,0,0,0,0,1,1,0,1,2,6,5,2,1,1,4,3,2,0,0
68,8547,3,3,1,1,0,1,0,0,0,0,1,1,0,1,2,7,5,2,1,1,4,3,1,0,0
69,8673,3,3,1,1,0,1,0,0,0,0,1,1,0,1,2,8,6,2,1,1,4,3,1,0,0
70,8797,3,3,1,1,0,0,1,0,1,0,2,1,0,1,2,8,6,1,1,1,5,4,1,0,0
71,8921,4,3,1,1,0,0,1,0,1,0,2,1,0,1,2,8,6,1,1,1,5,4,1,0,0
72,9047,6,4,1,0,0,0,1,1,1,0,2,1,0,1,2,6,5,1,1,1,6,4,1,0,0
73,9173,12,5,2,0,1,0,1,1,1,0,3,1,1,1,2,5,4,1,1,1,10,5,2,0,0
74,9297,23,6,2,0,1,0,1,1,1,0,3,1,1,1,2,4,2,1,1,1,18,5,2,0,0
75,9422,41,8,3,0,1,0,0,1,0,0,2,1,1,1,2,4,2,1,1,1,30,6,2,0,0
76,9548,59,9,3,0,1,0,0,1,0,0,2,1,1,1,2,4,1,1,1,1,41,6,3,0,0
77,9674,73,11,4,1,1,1,0,0,0,0,2,1,1,1,2,4,1,1,1,1,50,7,3,0,0
78,9804,77,12,4,1,1,1,0,0,0,0,2,1,1,1,2,4,2,1,1,1,52,8,3,1,0
79,9922,72,12,3,1,1,1,0,0,0,0,2,1,1,1,2,4,3,1,1,1,47,9,2,1,0
80,10048,57,11,3,1,1,1,0,0,0,0,2,1,1,1,2,5,4,1,1,1,38,9,2,1,0
81,10172,39,10,2,1,1,1,0,0,0,0,2,2,1,1,2,6,5,1,1,1,26,8,2,1,0
82,10298,23,8,2,1,0,1,0,0,0,0,2,2,1,1,2,7,5,1,1,1,17,7,1,1,0
83,10422,13,6,1,1,0,1,1,0,0,0,2,2,1,1,2,8,5,1,1,1,10,6,1,1,0
84,10548,8,5,1,1,0,1,1,1,0,0,2,1,1,1,2,8,5,1,1,1,8,5,1,1,0
85,10674,7,4,1,1,0,1,1,1,0,0,2,1,1,1,2,8,4,1,1,1,7,4,1,1,0
86,10810,7,3,1,0,0,1,1,1,0,0,2,1,1,1,2,7,4,1,1,1,7,3,2,1,0
87,10922,7,3,2,0,0,1,1,1,0,0,2,1,1,1,2,6,4,1,1,1,6,3,2,1,0
88,11047,7,2,2,0,0,1,1,1,0,0,2,1,0,1,2,5,3,1,1,1,6,3,2,1,0
