n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
0,66,5,2,2,1,1,22,9,20,51,8,7,11,16,22,22,1,1,3,4,2,7,2,1,1,0
1,182,5,2,2,1,1,22,15,26,59,10,7,13,16,20,23,1,1,3,4,2,7,2,2,1,0
2,311,4,1,2,1,1,22,26,36,65,11,8,15,16,18,24,1,1,3,4,3,7,2,2,1,0
3,443,4,1,2,1,1,38,46,49,66,13,9,17,15,18,26,2,1,3,4,2,7,3,2,1,0
4,563,3,1,1,1,1,130,76,64,62,14,10,18,14,18,28,3,2,4,3,2,7,4,2,1,0
5,677,2,2,1,1,1,391,115,78,54,15,12,18,13,21,29,4,3,4,3,2,6,5,2,1,0
6,801,2,3,1,1,1,907,157,86,44,16,12,16,12,23,31,6,4,4,3,2,5,7,2,1,0
7,927,1,4,1,1,1,1619,191,92,36,17,12,15,12,24,33,7,5,3,2,2,4,8,1,1,1
8,1054,1,5,1,1,1,2458,208,97,31,19,11,14,12,23,35,9,6,3,2,2,3,9,1,1,1
9,1177,1,5,1,1,1,3090,204,104,29,22,10,14,12,21,37,10,6,3,1,2,3,9,1,1,1
10,1302,1,6,1,1,1,3422,186,113,30,24,8,14,13,18,38,10,6,3,1,2,2,9,1,1,1
11,1432,1,6,1,0,1,3209,164,123,31,27,7,16,13,15,39,10,5,3,1,2,3,7,1,1,1
12,1557,1,6,1,0,1,2701,147,132,31,30,6,18,12,12,39,10,4,2,1,2,3,6,1,1,1
13,1677,2,6,2,0,1,1907,140,135,31,32,6,19,12,11,38,9,4,2,1,2,4,5,2,0,1
14,1802,2,6,2,0,1,1245,141,132,29,33,5,20,12,11,37,9,3,2,1,2,4,4,3,0,1
15,1927,3,5,2,1,1,724,145,123,29,32,5,19,12,11,36,8,3,2,1,2,5,3,3,1,1
16,2052,3,5,3,1,1,481,146,110,30,30,6,17,13,11,34,8,2,2,1,3,5,2,4,1,1
17,2178,4,4,3,1,1,386,142,97,33,28,6,13,15,10,33,8,3,3,1,3,5,2,4,1,1
18,2302,3,4,3,1,1,356,134,86,38,27,8,11,17,11,34,7,4,3,1,3,4,3,4,1,1
19,2426,3,3,2,1,1,346,124,78,46,26,9,9,18,11,37,6,5,4,1,3,4,3,3,1,1
20,2557,2,3,2,1,1,332,115,73,54,26,11,9,19,13,42,6,7,4,1,4,3,3,3,1,1
21,2677,2,3,1,1,1,328,113,70,61,27,13,11,19,17,49,5,8,4,1,4,3,4,2,1,1
22,2802,2,3,1,1,1,334,126,68,65,27,13,15,18,20,58,4,9,4,2,4,3,4,2,1,1
23,2927,3,3,1,1,1,365,164,66,65,27,13,18,16,23,68,3,9,4,2,4,4,4,2,1,1
24,3057,4,4,1,1,1,415,225,66,61,26,13,20,14,26,77,3,9,5,2,3,6,4,2,1,1
25,3177,6,4,1,1,1,467,296,70,55,25,13,20,13,28,83,3,8,5,2,3,9,4,2,1,1
26,3302,10,4,1,1,1,507,354,80,49,25,14,18,11,31,85,4,7,6,2,3,12,4,2,1,1
27,3428,17,5,1,1,1,522,376,95,42,25,15,15,10,33,81,5,6,6,2,2,18,4,2,1,1
28,3556,29,5,1,1,1,501,354,109,37,24,15,13,9,34,74,6,5,5,2,2,30,4,1,1,1
29,3677,84,19,6,3,2,431,296,122,34,24,15,11,8,34,63,10,5,5,2,2,48,5,1,1,1
30,3803,315,92,31,13,4,341,235,145,36,23,14,12,9,32,52,22,10,5,4,3,69,8,2,1,2
31,3927,914,272,95,37,10,288,204,190,47,23,15,15,11,30,45,50,30,9,11,4,92,13,4,3,2
32,4061,1928,574,201,77,20,279,220,259,67,24,22,22,18,31,42,98,73,18,24,9,110,19,7,5,3
33,4178,3215,947,332,126,33,355,271,338,91,25,34,33,30,40,44,157,139,38,44,17,120,25,11,9,4
34,4301,4441,1288,452,171,45,438,329,401,114,25,51,47,47,56,50,212,213,67,66,30,121,30,16,12,4
35,4427,5186,1486,521,196,53,516,369,427,135,26,67,61,65,76,59,246,273,101,85,44,111,32,19,14,5
36,4556,5219,1470,515,193,53,587,392,414,157,32,79,73,83,96,68,248,299,130,95,57,94,30,20,15,5
37,4678,4483,1244,436,163,46,625,421,381,183,46,82,81,95,108,75,216,282,146,93,65,72,25,19,14,5
38,4802,3281,890,312,117,34,678,473,359,216,72,78,83,101,111,81,165,228,143,80,67,51,19,15,11,5
39,4927,1960,521,183,69,21,713,546,368,252,106,70,80,100,102,87,108,156,122,60,62,31,12,11,8,4
40,5058,918,235,84,32,11,759,618,405,281,142,61,73,92,88,95,64,89,91,40,52,17,7,7,6,3
41,5179,290,72,27,11,5,756,653,444,290,169,54,63,80,73,103,35,40,58,24,40,8,4,4,4,3
42,5303,53,11,7,4,2,724,624,454,274,180,48,52,66,64,112,21,16,32,14,30,4,2,3,3,2
