n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
0,0,droite,13,8,5,5,5,45,5,5,6,6,4,3,2,27,9,7,8,4,6,6,9,5,2,4,4
1,1,droite,14,7,7,5,5,38,8,9,6,6,2,2,2,30,9,12,9,7,7,7,11,5,4,4,5
2,3,droite,14,7,7,5,5,38,8,9,6,6,2,2,2,30,9,12,9,7,7,7,11,5,4,4,5
3,111,droite,14,6,7,6,5,33,12,11,6,7,2,1,1,30,9,13,8,11,9,7,10,4,5,5,5
4,233,droite,12,6,6,6,5,33,13,11,6,7,2,1,1,29,9,12,7,12,9,6,9,4,4,5,5
5,350,droite,12,6,6,6,5,33,13,11,6,7,2,1,1,29,9,12,7,12,9,6,9,4,4,5,5
6,413,droite,11,6,5,7,5,33,13,10,7,7,2,1,1,28,9,10,7,13,9,6,7,4,4,6,5
7,602,droite,11,6,3,7,5,37,9,7,8,7,3,1,0,31,9,6,6,11,8,5,4,4,3,6,5
8,680,droite,11,6,3,7,5,37,9,7,8,7,3,1,0,31,9,6,6,11,8,5,4,4,3,6,5
9,850,droite,13,5,3,7,5,41,7,6,9,7,3,1,1,34,9,4,5,10,7,5,4,3,3,6,5
10,983,droite,14,5,3,6,5,46,5,5,9,7,4,2,1,37,10,3,5,9,7,6,3,3,3,6,5
11,1115,droite,14,4,4,5,3,56,2,3,6,4,9,4,5,31,10,3,3,7,9,6,2,2,3,4,3
12,1233,droite,31,20,17,13,5,62,7,6,8,4,39,33,27,41,13,5,5,8,10,6,2,2,3,4,3
13,1352,droite,141,117,96,58,17,87,35,28,19,7,215,196,147,110,33,21,18,19,16,7,2,2,3,4,2
14,1491,droite,433,372,300,173,48,158,104,83,47,14,685,617,452,289,82,64,53,50,32,10,2,2,3,3,2
15,1547,droite,433,372,300,173,48,158,104,83,47,14,685,617,452,289,82,64,53,50,32,10,2,2,3,3,2
16,1689,droite,2587,2180,1747,951,247,708,595,474,244,68,4173,3626,2571,1512,413,384,309,285,140,36,11,4,8,3,2
17,1794,droite,2587,2180,1747,951,247,708,595,474,244,68,4173,3626,2571,1512,413,384,309,285,140,36,11,4,8,3,2
18,1911,droite,2242,1858,1499,800,205,631,517,413,207,58,3635,3095,2177,1271,344,332,266,254,121,31,14,6,10,5,4
19,2104,droite,465,366,309,155,40,173,116,98,42,13,760,612,427,252,66,71,57,65,29,9,17,8,10,5,5
20,2252,droite,35,22,27,10,5,53,19,20,5,3,54,38,36,28,8,7,8,15,6,3,18,6,8,4,4
21,2301,droite,35,22,27,10,5,53,19,20,5,3,54,38,36,28,8,7,8,15,6,3,18,6,8,4,4
22,2486,droite,9,4,9,3,2,40,15,15,4,2,9,10,22,22,7,3,3,9,4,2,16,4,6,3,2
23,2621,droite,9,4,9,3,2,40,15,15,4,2,9,10,22,22,7,3,3,9,4,2,16,4,6,3,2
24,2740,droite,10,9,9,6,2,170,53,34,20,6,9,12,22,18,7,13,10,16,7,3,16,9,11,6,2
25,2799,droite,13,13,13,8,3,205,59,39,22,7,11,13,24,18,7,15,15,22,9,4,17,13,16,8,3
26,2919,droite,15,17,16,10,3,218,57,40,22,7,13,13,24,19,7,16,19,27,10,4,17,16,20,9,4
27,3104,droite,17,18,18,10,3,200,48,36,19,7,13,13,23,20,7,15,21,29,10,4,15,17,22,10,4
28,3243,droite,18,17,17,10,3,164,35,29,15,5,11,12,20,20,7,13,21,27,9,4,12,16,21,9,4
29,3373,droite,17,15,14,8,3,116,23,21,11,4,10,11,17,19,7,10,17,22,8,3,9,14,17,8,3
30,3515,droite,15,12,11,6,3,74,15,16,8,4,9,13,16,20,7,8,13,16,6,3,7,11,13,6,3
31,3617,droite,12,11,8,4,3,44,10,13,6,4,11,17,16,21,8,6,10,10,5,3,6,8,9,4,3
32,3691,droite,12,11,8,4,3,44,10,13,6,4,11,17,16,21,8,6,10,10,5,3,6,8,9,4,3
33,3870,droite,11,10,6,3,3,23,8,14,7,5,21,25,23,27,11,6,7,5,5,3,8,7,6,3,3
34,3948,droite,19,11,6,3,4,28,7,13,7,6,26,26,26,29,12,8,8,4,6,4,13,8,6,3,4
35,4061,droite,43,12,6,3,4,43,6,12,6,6,29,24,30,29,13,11,8,4,6,4,24,9,6,3,4
36,4179,droite,43,12,6,3,4,43,6,12,6,6,29,24,30,29,13,11,8,4,6,4,24,9,6,3,4
37,4378,droite,140,18,5,3,4,92,6,7,5,5,23,16,37,27,13,17,8,4,6,4,62,11,6,3,4
38,4468,droite,231,31,14,10,3,116,5,6,5,3,11,10,49,24,11,18,8,11,11,3,94,19,14,10,3
39,4635,droite,204,32,20,15,4,95,5,8,6,2,11,10,48,24,11,18,11,16,15,3,85,23,20,15,3
40,4775,droite,44,22,25,21,4,23,7,10,7,1,10,9,20,20,12,28,15,18,19,3,39,22,26,20,4
41,4861,droite,36,20,21,16,4,22,8,9,5,1,9,9,14,17,11,29,13,14,15,2,39,19,21,15,3
42,4950,droite,35,14,12,5,2,31,12,6,3,1,11,11,10,8,5,30,8,7,4,1,44,11,10,5,2
43,5132,droite,36,11,10,4,2,37,11,6,3,2,14,14,14,7,4,33,7,7,3,1,45,9,8,4,2
