n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
0,143,droite,0,0,0,0,0,962,161,165,54,45,1,5,4,12,9,4,15,19,14,6,0,0,0,0,0
1,194,droite,0,0,0,0,0,962,161,165,54,45,1,5,4,12,9,4,15,19,14,6,0,0,0,0,0
2,395,droite,1,0,0,0,0,938,126,82,31,10,1,3,1,9,9,4,8,6,7,5,0,0,0,0,0
3,495,droite,2,0,0,0,0,914,115,55,23,5,1,2,1,9,9,8,6,5,6,5,1,0,0,0,0
4,647,droite,3,0,0,0,0,901,106,38,18,4,1,3,1,10,10,13,5,6,5,4,1,0,0,0,0
5,696,droite,3,0,0,0,0,901,106,38,18,4,1,3,1,10,10,13,5,6,5,4,1,0,0,0,0
6,898,droite,3,0,0,0,0,894,100,21,13,4,4,3,1,10,10,39,8,5,3,3,2,0,0,0,0
7,947,droite,3,0,0,0,0,894,100,21,13,4,4,3,1,10,10,39,8,5,3,3,2,0,0,0,0
8,1149,droite,2,0,0,0,0,763,100,18,13,4,15,4,1,10,11,100,23,6,2,1,3,0,0,0,0
9,1250,droite,1,0,0,0,0,630,99,20,13,4,24,4,1,11,11,141,33,7,1,1,2,0,0,0,0
10,1316,droite,1,0,0,0,0,630,99,20,13,4,24,4,1,11,11,141,33,7,1,1,2,0,0,0,0
11,1516,droite,0,0,0,0,0,377,103,33,13,5,39,4,1,11,11,195,44,9,1,1,1,0,0,0,0
12,1652,droite,0,0,0,0,0,334,112,41,14,6,40,4,1,11,11,190,42,9,1,1,1,0,0,0,0
13,1754,droite,0,0,0,0,0,347,124,49,15,6,35,3,1,12,11,162,34,8,1,1,0,0,0,0,0
14,1826,droite,0,0,0,0,0,347,124,49,15,6,35,3,1,12,11,162,34,8,1,1,0,0,0,0,0
15,2011,droite,2,0,0,0,0,457,139,57,20,7,19,3,1,12,12,76,16,5,1,1,1,0,0,0,0
16,2142,droite,3,0,0,0,0,490,130,54,20,6,12,3,1,12,12,41,9,4,1,1,4,0,0,0,0
17,2261,droite,9,1,0,0,0,444,107,46,18,5,7,2,1,12,12,20,5,3,1,1,10,0,1,0,0
18,2327,droite,9,1,0,0,0,444,107,46,18,5,7,2,1,12,12,20,5,3,1,1,10,0,1,0,0
19,2522,droite,21,1,1,0,1,239,49,24,10,3,4,2,1,11,12,7,3,3,1,1,29,2,2,1,0
20,2591,droite,21,1,1,0,1,239,49,24,10,3,4,2,1,11,12,7,3,3,1,1,29,2,2,1,0
21,2753,droite,27,2,1,1,1,59,11,6,2,1,3,1,1,10,12,4,3,3,1,1,44,3,3,1,1
22,2832,droite,28,2,1,1,1,16,3,2,1,0,2,1,1,10,12,4,3,3,1,1,52,3,3,1,1
23,2985,droite,19,2,1,1,1,2,1,0,0,0,2,1,1,10,12,4,2,3,1,1,36,3,3,1,1
24,3142,droite,17,2,1,1,1,3,5,2,1,0,1,1,1,10,12,4,2,3,1,1,34,2,2,1,1
25,3248,droite,8,1,1,1,1,9,17,6,2,0,1,1,1,10,12,4,2,2,0,1,16,2,2,1,1
26,3392,droite,7,1,0,1,1,19,38,14,5,1,1,1,1,10,12,6,2,2,0,1,12,1,1,1,1
27,3473,droite,2,1,0,1,0,36,65,24,9,2,2,1,1,10,12,7,2,1,0,1,4,1,1,0,0
28,3650,droite,2,0,0,0,0,53,91,34,13,2,2,1,1,10,11,8,2,1,1,1,3,0,0,0,0
29,3741,droite,2,0,0,0,0,73,110,41,17,3,3,1,1,10,10,9,2,1,1,1,3,0,0,0,0
30,3900,droite,1,0,0,0,0,87,117,43,19,4,3,1,1,11,9,8,2,1,1,1,1,0,0,0,0
31,3960,droite,1,0,0,0,0,87,117,43,19,4,3,1,1,11,9,8,2,1,1,1,1,0,0,0,0
32,4163,droite,0,0,0,0,0,102,103,32,17,4,3,1,1,11,8,4,2,3,1,1,0,0,0,0,0
33,4198,droite,0,0,0,0,0,102,103,32,17,4,3,1,1,11,8,4,2,3,1,1,0,0,0,0,0
34,4403,droite,0,0,0,0,0,100,83,19,11,3,3,1,1,13,7,2,2,4,1,1,0,0,0,0,0
35,4469,droite,0,0,0,0,0,100,83,19,11,3,3,1,1,13,7,2,2,4,1,1,0,0,0,0,0
36,4577,droite,0,0,0,0,0,95,75,16,8,3,3,2,2,13,7,2,2,4,1,1,0,0,0,0,0
37,4756,droite,0,0,0,0,0,95,66,15,6,3,3,2,3,13,7,2,2,3,1,1,0,0,0,0,0
38,4835,droite,0,0,0,0,0,89,53,14,5,2,3,2,3,14,7,2,2,3,1,1,0,0,0,0,0
39,4947,droite,0,0,0,0,0,86,37,13,4,2,3,2,3,14,8,3,3,2,1,1,0,0,0,0,0
40,5145,droite,0,0,0,0,0,75,12,10,3,2,3,2,2,13,7,3,3,1,1,1,0,0,0,0,0
41,5264,droite,0,0,0,0,0,75,6,8,3,2,3,2,2,13,7,4,4,1,1,1,0,0,0,0,0
