n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
0,16,gauche,2,3,2,1,1,123,37,14,10,8,2,2,4,1,1,1,1,1,1,1,3,2,1,1,0
1,103,gauche,3,4,2,1,1,126,50,19,9,8,2,2,4,1,1,1,1,1,1,1,2,2,1,1,0
2,288,gauche,3,3,2,1,1,136,77,25,9,8,1,2,3,1,1,1,1,1,1,1,2,1,1,1,0
3,410,gauche,3,3,2,1,1,136,77,25,9,8,1,2,3,1,1,1,1,1,1,1,2,1,1,1,0
4,472,gauche,3,3,1,1,1,138,81,27,8,7,1,2,2,1,1,1,1,1,1,1,2,1,1,1,0
5,673,gauche,3,1,1,0,1,125,63,30,8,8,1,2,2,1,1,2,2,1,1,1,2,2,2,1,1
6,744,gauche,3,1,1,0,1,125,63,30,8,8,1,2,2,1,1,2,2,1,1,1,2,2,2,1,1
7,908,gauche,3,1,1,0,1,121,47,34,8,9,2,3,3,1,1,2,2,1,1,1,2,2,2,1,1
8,1011,gauche,4,2,1,1,1,125,34,40,9,9,2,5,4,1,1,2,2,1,1,1,3,3,2,1,1
9,1176,gauche,16,6,2,1,1,142,21,46,11,10,1,7,6,2,1,2,3,2,1,1,7,6,3,1,1
10,1226,gauche,16,6,2,1,1,142,21,46,11,10,1,7,6,2,1,2,3,2,1,1,7,6,3,1,1
11,1412,gauche,27,8,2,1,1,149,21,44,12,9,1,8,6,2,1,1,3,2,1,1,11,8,3,1,0
12,1528,gauche,39,9,2,1,0,153,22,38,13,8,1,8,6,2,1,1,2,2,1,1,16,9,4,1,0
13,1666,gauche,48,10,3,1,0,152,23,31,14,7,1,8,6,1,1,1,2,2,1,1,19,9,4,1,0
14,1765,gauche,50,9,3,1,0,145,25,25,15,6,1,8,6,1,1,1,2,2,1,1,19,8,4,1,0
15,1916,gauche,46,7,3,1,0,132,26,21,15,6,2,8,5,1,1,1,1,2,1,1,18,7,3,1,0
16,2023,gauche,36,6,3,1,0,121,26,19,14,6,2,8,5,1,1,1,1,2,1,1,15,5,3,1,0
17,2168,gauche,16,3,2,1,1,125,26,18,12,6,2,8,5,1,1,1,1,2,1,1,7,3,2,1,1
18,2270,gauche,16,3,2,1,1,125,26,18,12,6,2,8,5,1,1,1,1,2,1,1,7,3,2,1,1
19,2367,gauche,10,3,2,1,1,135,25,17,11,7,2,8,5,1,1,1,1,2,1,1,5,3,2,1,1
20,2534,gauche,14,3,2,1,1,145,23,19,11,8,2,7,6,1,1,1,1,2,1,1,5,3,1,0,1
21,2603,gauche,14,3,2,1,1,145,23,19,11,8,2,7,6,1,1,1,1,2,1,1,5,3,1,0,1
22,2738,gauche,22,3,2,1,1,150,24,23,12,9,2,7,7,1,1,2,1,2,1,1,5,3,1,0,1
23,2908,gauche,38,4,3,1,1,159,49,33,15,9,3,8,9,1,1,3,2,2,1,1,7,4,2,0,0
24,3008,gauche,38,4,3,1,1,159,49,33,15,9,3,8,9,1,1,3,2,2,1,1,7,4,2,0,0
25,3187,gauche,38,3,4,1,1,173,124,33,17,9,3,7,10,1,1,3,2,2,1,1,8,4,2,1,0
26,3265,gauche,38,3,4,1,1,173,124,33,17,9,3,7,10,1,1,3,2,2,1,1,8,4,2,1,0
27,3345,gauche,30,3,4,1,1,198,169,29,17,10,3,6,9,1,1,3,2,2,1,1,8,4,2,1,0
28,3514,gauche,22,2,3,1,1,240,203,22,16,10,2,5,8,1,1,2,2,2,1,1,7,4,2,1,0
29,3683,gauche,9,2,2,1,1,358,199,14,12,10,2,4,5,1,1,2,1,1,1,1,6,3,1,0,0
30,3744,gauche,9,2,2,1,1,358,199,14,12,10,2,4,5,1,1,2,1,1,1,1,6,3,1,0,0
