n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
0,10,gauche,4,4,2,1,1,147,29,18,9,7,39,39,16,10,13,21,23,4,4,3,6,2,1,1,0
1,130,gauche,4,4,2,1,1,170,28,21,10,8,33,34,23,12,14,16,20,4,5,3,7,2,1,1,0
2,253,gauche,5,4,2,1,1,182,27,26,12,9,28,29,29,15,14,12,17,5,6,4,8,2,1,1,0
3,380,gauche,4,4,2,1,1,180,26,34,15,11,24,26,34,19,14,11,14,6,8,5,7,2,1,1,1
4,501,gauche,4,3,1,1,1,165,26,43,17,13,22,22,36,25,14,10,12,7,10,5,6,2,1,1,1
5,667,gauche,3,2,1,1,1,140,28,50,19,16,19,20,35,30,14,9,10,8,12,5,5,2,1,1,1
6,816,gauche,3,2,1,1,1,111,31,52,21,17,17,17,30,34,14,9,9,8,14,4,4,2,1,1,1
7,932,gauche,2,1,1,1,1,81,32,48,21,17,16,14,24,35,14,12,7,9,15,4,4,2,1,1,1
8,1000,gauche,1,1,1,1,1,56,31,41,20,15,17,11,18,33,14,18,7,9,16,4,4,2,1,1,1
9,1183,gauche,1,1,1,1,1,41,28,32,18,13,21,10,14,28,13,28,7,8,15,4,4,2,2,1,0
10,1270,gauche,1,1,1,1,1,36,26,26,16,11,27,10,12,21,13,40,8,7,13,4,4,2,2,1,0
11,1387,gauche,1,1,1,1,1,44,23,25,13,10,33,11,11,15,12,51,9,6,11,5,4,2,2,1,0
12,1537,gauche,1,1,1,1,1,61,22,28,12,10,36,13,11,10,12,57,10,5,9,5,4,2,2,1,0
13,1637,gauche,1,1,1,1,1,82,21,35,11,10,35,14,11,8,13,57,11,4,6,5,3,2,2,1,0
14,1762,gauche,1,1,1,1,1,101,22,40,11,11,30,14,11,8,15,52,10,4,5,6,2,2,1,1,0
15,1905,gauche,1,1,1,1,1,113,26,43,12,11,23,14,11,10,16,42,8,5,4,7,2,2,2,0,0
16,2017,gauche,1,1,2,1,1,116,31,43,13,12,17,13,10,13,18,31,7,5,3,8,2,2,2,1,0
17,2137,gauche,2,1,3,1,1,110,37,41,13,13,13,13,10,15,19,21,5,6,3,9,2,2,2,1,0
18,2269,gauche,2,1,4,1,1,97,41,38,13,14,11,13,10,16,19,14,4,6,3,10,2,2,3,1,1
19,2376,gauche,2,1,4,1,1,82,42,35,11,15,11,14,10,16,19,10,4,6,3,10,2,2,3,1,1
20,2511,gauche,2,1,4,1,1,66,38,33,10,16,11,14,11,15,19,7,4,6,4,11,3,2,4,2,1
21,2649,gauche,2,1,4,2,1,50,31,30,8,17,11,13,11,13,19,5,4,6,4,11,3,2,4,2,1
22,2779,gauche,2,1,4,2,1,37,23,28,8,18,10,12,11,12,20,4,4,7,4,11,4,2,4,2,1
23,2904,gauche,2,2,3,2,1,27,16,24,8,19,9,11,10,11,20,4,4,7,4,10,4,2,4,3,1
24,3016,gauche,2,2,3,3,2,20,11,21,9,18,8,10,9,11,20,4,3,7,3,10,4,2,3,3,1
25,3214,gauche,2,2,3,3,2,16,8,17,11,17,7,10,10,11,21,4,3,7,3,10,5,2,3,3,1
26,3305,gauche,2,3,3,4,1,14,7,15,12,16,6,11,12,12,21,4,3,6,3,10,5,2,3,3,1
27,3422,gauche,2,3,4,4,1,14,7,12,13,14,5,12,15,12,21,3,2,6,3,10,5,2,4,3,1
28,3538,gauche,2,2,4,4,1,15,7,10,14,13,5,13,19,12,21,3,3,5,3,10,4,2,5,4,1
29,3661,gauche,2,2,4,4,1,19,11,8,15,12,4,14,22,11,21,3,3,5,3,10,4,2,5,4,1
30,3798,gauche,2,2,4,4,1,25,17,7,15,12,4,13,25,10,22,3,4,4,3,10,4,2,6,5,1
31,3892,gauche,3,2,4,4,1,33,29,7,15,13,4,12,26,9,22,3,4,4,3,10,3,1,5,5,1
32,4059,gauche,3,2,3,4,1,42,45,9,15,13,4,11,27,8,21,3,4,4,3,10,2,1,5,5,1
33,4210,gauche,3,2,2,3,1,52,67,12,16,13,5,10,28,8,20,2,4,3,3,9,2,1,4,5,1
34,4328,gauche,3,3,1,3,1,60,90,16,18,13,6,10,29,9,19,2,3,4,3,9,1,2,3,4,1
35,4405,gauche,3,3,1,3,1,68,110,20,20,13,7,10,29,11,18,2,2,4,3,8,2,3,3,4,1
36,4518,gauche,2,3,1,3,1,74,121,22,23,12,10,11,28,13,16,3,2,4,4,8,5,5,3,4,1
37,4673,gauche,2,4,0,2,1,77,121,22,26,11,13,11,26,14,15,4,1,5,5,7,10,8,3,3,1
38,4839,gauche,2,4,0,2,1,76,107,21,27,11,17,12,24,14,14,5,2,5,5,7,16,10,4,3,1
39,4923,gauche,2,3,0,2,1,69,85,18,26,12,19,13,21,14,14,7,2,5,5,7,22,12,5,3,1
40,5009,gauche,3,3,0,2,1,57,60,16,23,12,20,16,20,12,14,8,3,5,5,8,26,13,5,3,1
41,5178,gauche,4,2,1,2,1,43,37,15,20,13,19,21,19,10,15,10,4,4,5,8,27,12,5,3,1
42,5259,gauche,4,2,1,2,1,28,20,14,16,14,17,27,19,8,15,11,4,4,4,9,24,10,4,3,1
43,5385,gauche,5,1,1,2,1,17,10,14,12,15,14,34,21,7,17,11,4,3,4,11,19,7,3,3,1
44,5555,gauche,5,1,1,2,1,9,6,13,10,15,11,39,23,6,18,11,4,3,3,11,13,4,2,2,1
45,5641,gauche,5,1,1,2,1,9,6,13,10,15,11,39,23,6,18,11,4,3,3,11,13,4,2,2,1
46,5823,gauche,4,1,1,2,1,8,4,13,7,13,7,41,27,5,18,8,4,2,3,12,5,3,1,2,1
47,5915,gauche,3,1,1,2,1,12,4,14,7,12,6,38,27,4,17,7,3,2,3,11,3,3,1,2,1
48,6010,gauche,3,1,1,2,1,17,4,16,8,11,6,33,24,4,16,6,3,2,4,10,3,4,1,2,1
49,6193,gauche,2,1,1,2,1,21,5,19,9,11,7,28,20,4,14,6,3,2,4,8,3,4,1,2,1
