n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
0,99,neutre,15,6,3,2,5,7,1,2,2,4,127,140,51,29,384,2,3,2,2,6,10,6,3,2,5
1,153,neutre,34,12,3,3,5,8,1,2,2,4,187,215,77,41,540,3,4,2,3,5,24,11,3,3,5
2,351,neutre,69,24,4,3,5,8,1,3,2,4,282,297,101,51,641,4,6,2,3,5,50,19,4,3,5
3,473,neutre,115,39,6,4,4,8,1,3,3,4,426,376,118,56,653,5,9,2,4,5,85,30,5,3,5
4,532,neutre,161,54,8,4,4,8,1,3,4,4,605,440,126,57,575,7,11,3,4,5,121,42,7,4,5
5,722,neutre,195,65,10,5,4,8,1,4,4,4,782,484,129,54,435,10,13,3,5,5,146,50,8,4,5
6,823,neutre,204,67,10,5,4,7,1,4,4,4,940,515,142,51,283,11,13,3,5,5,152,52,9,4,5
7,973,neutre,188,59,10,5,4,8,2,4,4,4,1164,575,193,58,164,13,12,3,5,5,138,46,9,5,5
8,1073,neutre,152,46,8,5,4,10,3,4,5,4,1598,722,312,86,100,13,11,3,5,5,109,36,9,5,4
9,1223,neutre,110,31,7,5,4,14,6,5,5,4,2402,961,526,139,87,15,10,4,5,5,77,26,8,5,4
10,1289,neutre,78,20,7,5,4,21,9,6,5,4,3723,1305,839,210,107,20,11,5,5,5,54,18,9,5,4
11,1473,neutre,64,16,9,5,4,26,12,7,5,4,5555,1757,1210,285,144,29,13,7,5,4,47,16,11,5,4
12,1591,neutre,66,18,10,5,4,29,15,8,5,4,7608,2268,1555,343,190,41,18,9,6,4,53,20,13,5,4
13,1729,neutre,76,23,12,5,4,28,19,9,6,4,9364,2731,1774,367,237,53,23,10,6,5,65,26,15,6,4
14,1786,neutre,83,28,13,6,4,26,22,10,7,4,10266,3020,1800,350,271,61,28,11,7,5,74,31,15,6,4
15,1983,neutre,80,31,13,6,4,23,25,10,8,4,10014,3059,1623,298,283,61,32,11,9,6,73,36,15,7,5
16,2086,neutre,68,34,14,8,5,21,26,9,9,4,8837,2852,1313,231,272,53,34,12,10,6,64,40,14,8,5
17,2224,neutre,54,37,16,9,5,24,27,9,10,4,7336,2479,977,175,252,41,34,14,12,7,51,42,16,9,6
18,2334,neutre,41,40,20,10,5,28,27,10,11,4,6117,2057,714,147,239,31,33,17,14,7,39,44,19,11,6
19,2412,neutre,34,43,24,11,6,34,25,11,11,5,5509,1690,565,150,242,25,32,21,16,8,31,46,24,12,6
20,2598,neutre,34,44,28,11,6,38,22,12,10,5,5428,1426,512,168,256,24,30,25,17,8,30,45,27,13,7
21,2673,neutre,35,42,30,10,6,38,18,12,9,5,5469,1253,498,186,268,26,27,28,16,8,31,43,29,12,6
22,2846,neutre,35,38,29,9,6,35,14,13,8,5,5198,1116,475,190,262,28,24,28,14,8,33,38,29,10,6
23,2905,neutre,32,32,27,8,6,30,11,14,7,5,4411,962,427,177,232,27,20,28,12,7,31,31,28,9,6
24,3096,neutre,25,24,25,7,7,25,9,14,6,5,3282,794,365,154,184,23,17,26,10,8,27,25,26,7,7
25,3182,neutre,17,19,22,7,8,20,9,14,7,6,2222,667,312,135,137,18,15,25,9,9,21,20,24,7,8
26,3355,neutre,12,17,21,8,9,18,9,13,8,7,1557,632,295,128,106,15,16,24,9,10,17,19,22,8,9
27,3485,neutre,10,20,20,10,10,15,10,11,9,7,1349,675,312,133,95,13,19,23,10,11,14,21,21,9,10
28,3543,neutre,10,25,18,12,10,13,12,10,10,8,1403,734,340,142,95,13,23,22,11,11,13,25,20,11,10
29,3752,neutre,11,30,16,12,9,10,13,8,11,7,1433,738,346,142,95,14,26,19,12,11,13,29,17,11,10
30,3823,neutre,11,32,13,12,8,8,14,6,10,6,1272,649,311,126,87,14,26,15,11,9,12,30,13,11,8
31,3930,neutre,11,32,13,12,8,8,14,6,10,6,1272,649,311,126,87,14,26,15,11,9,12,30,13,11,8
32,4108,neutre,9,27,7,9,5,4,13,4,7,4,604,306,159,67,50,10,20,8,9,6,9,23,6,9,5
33,4257,neutre,8,21,5,7,3,5,11,3,5,3,301,153,87,40,32,7,15,6,7,4,8,18,5,7,4
34,4295,neutre,7,15,4,5,3,7,9,4,4,3,108,57,40,23,20,6,10,5,6,4,7,13,4,5,3
35,4483,neutre,6,10,4,4,2,9,7,4,3,2,25,15,18,16,15,5,7,5,5,3,8,9,4,4,2
36,4593,neutre,6,8,4,3,2,12,6,4,3,2,6,4,13,14,13,4,5,4,4,3,9,7,5,3,2
37,4670,neutre,7,9,5,3,3,17,9,8,5,4,7,4,13,15,14,6,5,6,6,4,13,11,10,9,6
38,4807,neutre,12,14,11,7,7,38,34,29,21,16,15,12,18,20,18,19,17,18,18,11,61,60,58,54,33
39,4977,neutre,26,28,29,21,18,97,105,93,71,53,40,35,34,36,29,62,59,57,58,32,229,223,200,190,112
40,5058,neutre,50,54,66,46,39,208,236,213,166,121,87,78,66,66,48,145,140,129,132,69,577,537,465,446,260
41,5191,neutre,88,89,118,80,67,360,411,376,294,214,150,137,110,108,74,263,253,225,233,120,1095,970,822,793,460
42,5364,neutre,139,126,173,114,96,518,587,542,425,308,213,198,156,151,100,386,369,321,336,172,1678,1418,1179,1145,662
43,5506,neutre,200,157,214,139,116,631,709,658,517,373,257,241,189,182,118,475,453,386,408,208,2153,1736,1423,1390,802
44,5601,neutre,269,171,229,144,120,661,736,686,537,387,265,253,197,190,120,501,474,398,423,216,2366,1811,1466,1443,831
45,5746,neutre,334,167,212,129,108,596,656,614,479,345,235,227,177,172,107,453,424,352,377,192,2249,1619,1294,1283,738
46,5842,neutre,386,148,169,99,83,459,500,468,363,261,177,175,136,135,82,349,324,265,286,146,1854,1231,968,969,558
47,5993,neutre,412,122,115,63,53,297,318,297,228,164,110,112,87,92,53,224,205,166,180,93,1324,780,599,606,349
48,6095,neutre,406,96,65,33,28,155,163,151,114,82,54,58,45,54,30,115,104,83,90,48,823,399,291,299,173
49,6254,neutre,366,75,30,13,12,64,63,57,41,30,20,23,19,30,15,44,40,31,33,19,462,161,101,105,62
50,6359,neutre,300,59,13,5,5,22,18,15,10,8,5,7,8,19,9,13,12,9,8,7,258,58,22,21,15
51,6474,neutre,222,47,7,3,3,12,6,5,3,3,2,3,5,16,8,6,5,3,3,4,163,33,5,3,4
52,6641,neutre,148,35,6,3,3,11,4,4,2,2,1,2,4,15,9,5,5,3,3,4,108,25,4,2,3
53,6755,neutre,89,24,6,3,3,12,4,4,2,2,1,2,4,15,9,5,5,3,3,4,66,17,4,2,3
54,6813,neutre,48,15,6,3,3,13,4,4,3,2,1,2,3,15,10,5,5,3,4,4,36,11,4,3,3
55,6929,neutre,23,10,7,3,3,14,5,4,3,2,1,2,3,14,11,4,6,4,4,3,18,7,4,3,3
56,7104,neutre,12,7,7,4,3,14,6,4,3,2,1,1,2,14,11,4,6,4,5,3,10,6,4,3,3
57,7223,neutre,8,6,7,5,3,14,6,4,3,2,2,1,2,14,12,3,5,4,6,3,7,6,4,4,3
58,7285,neutre,7,6,7,5,3,14,6,4,3,2,2,1,2,13,13,2,5,4,6,3,7,5,4,4,3
59,7531,neutre,6,5,6,5,3,13,6,4,3,2,3,1,1,14,13,2,4,4,6,3,6,5,4,4,3
60,7658,neutre,6,4,6,5,3,11,5,4,3,2,3,1,1,14,12,2,3,3,5,3,5,4,4,4,3
61,7661,neutre,6,4,5,4,3,9,6,4,3,2,3,1,1,15,11,2,3,3,5,3,4,4,4,4,3
62,7851,neutre,6,5,4,4,2,8,7,3,3,2,3,1,1,16,10,2,4,3,4,3,3,4,4,4,3
63,7979,neutre,6,7,4,4,2,7,8,3,2,2,3,2,1,17,9,2,5,3,3,3,2,4,3,3,2
64,8110,neutre,6,9,4,3,2,8,10,3,2,2,2,2,2,18,9,2,6,3,3,2,2,5,3,3,2
65,8251,neutre,6,11,4,4,2,8,11,4,2,1,2,3,4,18,9,3,7,3,3,2,2,6,3,3,2
66,8385,neutre,5,11,4,4,2,9,11,4,2,1,3,3,5,18,9,3,7,3,3,2,2,6,4,3,2
67,8526,neutre,4,9,5,3,2,8,11,5,2,1,3,4,6,16,10,3,7,4,3,2,3,6,5,3,2
68,8601,neutre,3,7,6,3,2,8,11,5,2,1,4,5,7,14,10,4,6,5,3,2,3,5,5,3,2
69,8682,neutre,3,5,6,3,2,8,11,6,3,2,4,5,7,12,11,4,5,6,3,2,3,4,6,3,2
70,8840,neutre,2,4,7,3,2,8,11,6,3,2,4,5,6,10,11,4,4,6,3,2,3,4,6,3,3
71,8913,neutre,2,4,7,3,2,8,11,6,3,2,4,5,6,10,11,4,4,6,3,2,3,4,6,3,3
72,9083,neutre,3,2,7,2,3,10,10,6,3,3,3,5,5,8,13,4,4,6,3,3,3,3,5,3,3
73,9251,neutre,4,2,6,2,3,9,9,6,3,3,2,4,5,8,13,4,4,5,4,3,3,3,5,3,3
74,9338,neutre,5,2,5,2,3,8,8,5,3,3,2,4,5,8,14,3,5,5,4,3,2,3,4,3,3
75,9416,neutre,5,2,5,2,3,8,8,5,3,3,2,4,5,8,14,3,5,5,4,3,2,3,4,3,3
76,9578,neutre,5,5,3,3,3,6,6,3,3,3,3,3,7,9,13,3,5,3,4,3,2,4,3,3,3
77,9730,neutre,4,7,3,3,3,6,5,3,3,3,3,3,8,10,12,4,5,3,4,3,2,4,3,3,3
78,9811,neutre,4,7,3,3,3,6,5,3,3,3,3,3,8,10,12,4,5,3,4,3,2,4,3,3,3
79,9990,neutre,4,11,2,3,3,7,4,3,3,3,4,3,7,13,10,5,5,4,4,3,4,6,4,3,3
80,10090,neutre,5,11,3,3,3,7,3,3,3,3,4,3,7,15,8,5,5,4,4,3,4,6,5,3,3
81,10173,neutre,6,11,3,3,3,7,3,4,3,3,4,3,6,17,7,5,4,5,4,3,5,6,5,3,3
82,10358,neutre,7,11,4,3,3,9,3,5,3,3,5,4,7,19,7,4,4,5,3,3,5,5,5,3,3
83,10528,neutre,7,10,5,3,3,12,3,5,3,3,6,5,7,19,7,3,3,4,3,3,5,5,4,3,3
84,10608,neutre,7,9,6,4,3,15,4,5,4,3,8,7,7,19,7,3,3,4,3,2,5,4,4,3,2
85,10802,neutre,6,9,7,4,3,18,4,5,4,3,10,8,7,19,7,3,2,3,3,2,4,4,3,3,2
86,10905,neutre,5,8,8,5,3,20,5,4,4,3,11,8,7,17,7,3,2,3,3,3,4,3,3,3,2
87,10908,neutre,6,6,5,4,3,21,7,4,3,3,9,5,4,12,8,4,3,2,3,3,3,2,2,3,3
88,11105,neutre,8,5,4,4,4,25,7,4,3,3,8,3,4,11,8,4,2,2,4,3,3,2,2,3,3
89,11308,neutre,9,3,2,3,3,38,9,3,3,3,6,2,2,9,7,3,2,2,4,3,4,1,1,3,3
90,11403,neutre,9,3,2,3,3,38,9,3,3,3,6,2,2,9,7,3,2,2,4,3,4,1,1,3,3
91,11405,neutre,9,3,2,3,3,46,14,6,6,4,6,2,2,8,7,10,9,9,10,7,10,8,9,9,7
92,11598,neutre,9,5,4,4,4,70,38,25,24,15,8,6,6,10,8,63,58,55,53,33,60,59,59,53,34
93,11706,neutre,12,10,11,9,7,130,99,79,72,44,14,18,17,16,12,211,198,185,173,109,205,201,202,175,112
94,11920,neutre,27,31,38,28,19,380,342,305,267,167,44,64,64,47,29,830,783,722,674,422,826,791,799,679,430
95,12021,neutre,37,43,54,38,26,524,474,430,375,235,63,90,90,66,39,1176,1110,1018,951,594,1179,1119,1132,957,605
96,12132,neutre,37,43,54,38,26,524,474,430,375,235,63,90,90,66,39,1176,1110,1018,951,594,1179,1119,1132,957,605
97,12236,neutre,45,52,65,46,31,621,558,512,445,279,76,106,108,79,45,1405,1327,1211,1132,705,1419,1335,1351,1139,718
98,12349,neutre,53,54,67,47,32,638,563,523,453,284,80,108,110,83,46,1436,1357,1232,1152,717,1461,1363,1381,1159,730
99,12561,neutre,102,72,70,52,28,453,370,348,303,186,96,115,112,98,44,944,904,812,752,466,1004,906,908,759,473
100,12677,neutre,229,236,186,134,51,412,283,275,246,132,353,280,279,246,87,695,644,584,516,304,743,714,664,528,309
101,12797,neutre,533,729,538,363,123,665,355,373,326,124,1191,752,774,666,212,774,572,553,443,204,707,901,698,470,218
102,12909,neutre,533,729,538,363,123,665,355,373,326,124,1191,752,774,666,212,774,572,553,443,204,707,901,698,470,218
103,13035,neutre,1849,3018,2141,1332,438,2596,1297,1387,1087,304,5281,2894,3018,2473,742,2542,1377,1420,1058,294,1903,3086,2112,1178,381
