n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
0,9,neutre,38103,9166,4472,1736,630,20650,6784,2732,1155,606,3901,1312,431,180,176,29137,8602,3471,1531,578,37799,9290,4446,1771,627
1,204,neutre,42106,10561,5475,2050,706,23760,7906,3348,1368,714,2989,1348,426,204,175,32207,9950,4248,1798,666,41903,10694,5478,2100,712
2,328,neutre,42147,10858,5767,2106,710,24396,8104,3530,1409,737,2569,1784,456,249,192,32439,10166,4477,1839,680,42044,10984,5787,2162,721
3,455,neutre,37122,9766,5204,1873,627,21785,7232,3199,1257,659,2711,2667,512,314,224,28766,9065,4056,1631,606,37086,9877,5234,1925,639
4,578,neutre,28413,7533,3988,1424,476,16869,5527,2467,958,504,3256,3826,573,385,261,22231,6936,3129,1237,463,28426,7620,4021,1466,486
5,708,neutre,18038,4837,2529,902,302,10822,3517,1576,608,321,3889,4932,609,443,292,14244,4417,2001,782,294,18074,4894,2556,930,308
6,758,neutre,9199,2471,1267,453,152,5601,1777,797,306,162,4378,5644,613,467,306,7349,2235,1012,391,149,9236,2502,1284,467,155
7,959,neutre,3309,912,451,163,55,2049,646,288,110,58,4515,5689,575,446,294,2678,815,366,141,54,3331,924,459,168,56
8,1082,neutre,716,192,91,33,11,452,133,59,22,12,4190,5011,491,380,256,590,169,75,28,11,723,195,92,34,11
9,1213,neutre,39,11,4,2,1,26,7,3,1,1,3456,3811,372,282,198,33,9,4,1,1,40,11,4,2,1
10,1330,neutre,0,0,0,0,0,0,0,0,0,0,2522,2457,239,177,132,0,0,0,0,0,0,0,0,0,0
11,1465,neutre,0,0,0,0,0,0,0,0,0,0,1674,1321,125,90,75,0,0,0,0,0,0,0,0,0,0
12,1586,neutre,0,0,0,0,0,0,0,0,0,0,1137,624,53,36,38,0,0,0,0,0,0,0,0,0,0
13,1644,neutre,0,0,0,0,0,0,0,0,0,0,930,341,23,12,20,0,0,0,0,0,0,0,0,0,0
14,1835,neutre,0,0,0,0,0,0,0,0,0,0,900,291,16,7,15,0,0,0,0,0,0,0,0,0,0
15,1957,neutre,0,0,0,0,0,0,0,0,0,0,859,280,13,6,15,0,0,0,0,0,0,0,0,0,0
16,2080,neutre,0,0,0,0,0,0,0,0,0,0,745,240,11,6,14,0,0,0,0,0,0,0,0,0,0
17,2215,neutre,0,0,0,0,0,0,0,0,0,0,569,177,9,6,12,0,0,0,0,0,0,0,0,0,0
18,2329,neutre,0,0,0,0,0,0,0,0,0,0,390,115,7,7,11,0,0,0,0,0,0,0,0,0,0
19,2405,neutre,0,0,0,0,0,0,0,0,0,0,262,74,5,7,11,0,0,0,0,0,0,0,0,0,0
20,2527,neutre,0,0,0,0,0,0,0,0,0,0,208,61,5,8,11,0,0,0,0,0,0,0,0,0,0
21,2707,neutre,0,0,0,0,0,0,0,0,0,0,224,69,6,8,11,0,0,0,0,0,0,0,0,0,0
22,2782,neutre,0,0,0,0,0,1,0,0,0,0,275,84,7,7,12,0,0,0,0,0,0,0,0,0,0
23,2953,neutre,0,0,0,0,0,1,0,0,0,0,327,94,7,7,12,0,0,0,0,0,0,0,0,0,0
24,3094,neutre,1,0,0,0,0,2,0,0,0,0,350,92,8,7,12,0,0,0,0,0,1,0,0,0,0
25,3220,neutre,1,0,0,0,0,2,0,0,0,0,338,79,8,8,11,1,0,0,0,0,1,0,0,0,0
26,3341,neutre,2,0,0,0,0,2,0,0,0,0,301,58,8,8,11,1,0,0,0,0,2,0,0,0,0
27,3475,neutre,2,0,0,0,0,2,0,0,0,0,268,38,9,9,11,2,0,0,0,0,2,0,0,0,0
28,3599,neutre,2,0,0,0,0,2,0,0,0,0,267,23,10,10,12,2,0,0,0,0,2,0,0,0,0
29,3700,neutre,1,0,0,0,0,1,0,0,0,0,305,17,13,11,13,2,0,0,0,0,2,0,0,0,0
30,3836,neutre,1,0,0,0,0,1,0,0,0,0,363,16,15,11,14,2,0,0,0,0,2,0,0,0,0
